P (bars),10,constituent,Pc (bars),Tc (K),wc,M (g/mol),molar fraction,massic fraction,molar V (cm3/mol),fugacity,fugacity°,stoechio react,stoechio prod
T (°C),25,H2,12.97,33.3,-0.215,2.0158,1,1,2488.36018,10.05408,10.05408,0,0
molar V Liq,2.0158,H2O,221.2,647.30,0.344,18.0158,0,0,0,0,8.4865,0,0
V Liq+Gaz/Gaz,2488.36018,CO2,73.8,304.2,0.225,44.0096,0,0,0,0,9.51096,0,0
V Liq+Gaz/Liq+Gaz,1244.18009,NH3,113.33,405.40,0.25601,17.03040,0,0,0,0,9.22631,0,0
V Gaz/Gaz,2486.34438,N2,33.9,126.2,0.04,28.0134,0,0,0,0,9.99667,0,0
density xl (g/cm3),0.00081,CO,35,132.9,0.049,28.0102,0,0,0,0,9.98554,0,0
density global,0.00162,O2,50.5,154.6,0.021,32.0852,0,0,0,0,9.94478,0,0
Kr/Keq,Kr/Keq,Argon,48.74,150.8,0.000,39.948,0,0,0,0,9.94629,0,0
